SMILES,targets
C[Si](C)(C)COCC1(/N=C/c2ccc(C(F)(F)F)cc2)CCOCC1,0
COc1cccc(/C=N/C2(COC[Si](C)(C)C)CCOCC2)c1,1
C[Si](C)(C)COCC1(/N=C/c2ccc(F)c(C#N)c2)CCOCC1,1
C[Si](C)(C)COCC1(/N=C/c2cc(Cl)cc(Cl)c2)CCOCC1,1
C[Si](C)(C)COCC1(/N=C/c2ccc(F)cc2Cl)CCOCC1,1
Cn1cc(/C=N/C2(COC[Si](C)(C)C)CCOCC2)cn1,0
CC(C)(C)C/C=N/C1(COC[Si](C)(C)C)CCOCC1,0
CCC(/C=N/C1(COC[Si](C)(C)C)CCOCC1)CC,0
C[Si](C)(C)COCC1(/N=C/C2CCOCC2)CCOCC1,0
C[Si](C)(C)COCC1(/N=C/c2ccc(C(F)(F)F)cc2)CCC(c2ccccc2)CC1,0
COc1cccc(/C=N/C2(COC[Si](C)(C)C)CCC(c3ccccc3)CC2)c1,1
C[Si](C)(C)COCC1(/N=C/c2ccccc2C#N)CCC(c2ccccc2)CC1,1
C[Si](C)(C)COCC1(/N=C/c2ccc(F)c(C#N)c2)CCC(c2ccccc2)CC1,1
C[Si](C)(C)COCC1(/N=C/c2cc(Cl)cc(Cl)c2)CCC(c2ccccc2)CC1,1
C[Si](C)(C)COCC1(/N=C/c2ccc(F)cc2Cl)CCC(c2ccccc2)CC1,1
Cn1cc(/C=N/C2(COC[Si](C)(C)C)CCC(c3ccccc3)CC2)cn1,1
CC(C)(C)C/C=N/C1(COC[Si](C)(C)C)CCC(c2ccccc2)CC1,1
CCC(/C=N/C1(COC[Si](C)(C)C)CCC(c2ccccc2)CC1)CC,1
C[Si](C)(C)COCC1(/N=C/C2CCC2)CCC(c2ccccc2)CC1,1
C[Si](C)(C)COCC1(/N=C/C2CCOCC2)CCC(c2ccccc2)CC1,1
COc1cccc(/C=N/C2(COC[Si](C)(C)C)CCOC2)c1,1
C[Si](C)(C)COCC1(/N=C/c2ccccc2C#N)CCOC1,1
C[Si](C)(C)COCC1(/N=C/c2ccc(F)c(C#N)c2)CCOC1,1
C[Si](C)(C)COCC1(/N=C/c2cc(Cl)cc(Cl)c2)CCOC1,1
C[Si](C)(C)COCC1(/N=C/c2ccc(F)cc2Cl)CCOC1,0
CC(C)(C)C/C=N/C1(COC[Si](C)(C)C)CCOC1,0
CCC(/C=N/C1(COC[Si](C)(C)C)CCOC1)CC,0
C[Si](C)(C)COCC1(/N=C/C2CCC2)CCOC1,0
C[Si](C)(C)COCC1(/N=C/C2CCOCC2)CCOC1,0
C[Si](C)(C)COCC1(/N=C/c2ccc(C(F)(F)F)cc2)CCOc2ccccc21,0
COc1cccc(/C=N/C2(COC[Si](C)(C)C)CCOc3ccccc32)c1,0
C[Si](C)(C)COCC1(/N=C/c2ccccc2C#N)CCOc2ccccc21,1
C[Si](C)(C)COCC1(/N=C/c2cc(Cl)cc(Cl)c2)CCOc2ccccc21,1
C[Si](C)(C)COCC1(/N=C/c2cccnc2)CCOc2ccccc21,0
Cn1cc(/C=N/C2(COC[Si](C)(C)C)CCOc3ccccc32)cn1,0
CCC(/C=N/C1(COC[Si](C)(C)C)CCOc2ccccc21)CC,0
C[Si](C)(C)COCC1(/N=C/C2CCC2)CCOc2ccccc21,0
C[Si](C)(C)COCC1(/N=C/C2CCOCC2)CCOc2ccccc21,0
CC(COC[Si](C)(C)C)(/N=C/c1ccc(C(F)(F)F)cc1)c1ccccc1,0
CC(COC[Si](C)(C)C)(/N=C/c1ccccc1C#N)c1ccccc1,0
CC(COC[Si](C)(C)C)(/N=C/c1ccc(F)c(C#N)c1)c1ccccc1,1
CC(COC[Si](C)(C)C)(/N=C/c1cc(Cl)cc(Cl)c1)c1ccccc1,1
CC(COC[Si](C)(C)C)(/N=C/c1ccc(F)cc1Cl)c1ccccc1,0
CCC(/C=N/C(C)(COC[Si](C)(C)C)c1ccccc1)CC,0
CC(COC[Si](C)(C)C)(/N=C/C1CCC1)c1ccccc1,0
CC(COC[Si](C)(C)C)(/N=C/C1CCOCC1)c1ccccc1,0
